datetime,open,high,low,close,volume,EMA_fast,EMA_slow,ATR,ADX,DC_upper,DC_lower,trade_type,signals
2018-05-15 05:30:00,8663.37,8859.99,8401.3,8462.0,28126.956136,8897.916065344429,8799.631341891998,497.8443069461387,22.137512787300302,10020.0,8153.0,HOLD,0
2018-05-16 05:30:00,8462.0,8488.0,8083.01,8330.0,31130.718908,8843.828821025912,8781.214426523684,491.21185644998593,22.075313943450457,10020.0,8153.0,CLOSE,-1
2018-05-17 05:30:00,8330.0,8464.0,7979.0,8041.46,25439.844799,8767.412742832968,8752.204449012952,490.76815241784414,22.24432816706039,10020.0,8083.01,HOLD,0
2018-05-18 05:30:00,8038.82,8273.21,7911.9,8239.81,23476.158251,8717.16486256316,8732.11054905166,481.5211415308553,22.548346635498834,10020.0,7979.0,HOLD,0
2018-05-19 05:30:00,8238.01,8390.8,8095.73,8233.49,17193.424276,8671.100589938098,8712.556802030027,468.2032028500799,22.38866697858886,10020.0,7911.9,HOLD,0
2018-05-20 05:30:00,8233.49,8609.0,8163.9,8526.98,19957.057109,8657.374819467803,8705.279280381792,466.5529740750742,21.475165225938014,10020.0,7911.9,HOLD,0
2018-05-21 05:30:00,8526.97,8595.31,8305.0,8381.24,21516.596486,8631.076265232774,8692.57185762172,453.96419021256884,20.626913598476516,10020.0,7911.9,HOLD,0
2018-05-22 05:30:00,8386.89,8400.18,7935.11,7977.11,23710.902858,8568.793763782034,8664.514529871849,454.75746234024257,20.801251304164232,10020.0,7911.9,HOLD,0
2018-05-23 05:30:00,7977.12,8031.9,7425.0,7501.95,42910.666774,8467.189595802793,8618.923763994522,465.6247864587967,21.958726622050257,10020.0,7911.9,SHORT,-1
2018-05-24 05:30:00,7501.95,7730.73,7266.99,7575.01,37845.446595,8382.22011048824,8577.98596932807,465.4901588545969,23.289968735157885,10020.0,7425.0,HOLD,0
2018-05-25 05:30:00,7578.99,7649.55,7308.15,7457.0,26739.95664,8294.10390948936,8534.025735236773,456.6265760792686,24.52612212590068,10020.0,7266.99,HOLD,0
2018-05-26 05:30:00,7456.99,7620.0,7300.0,7333.96,19464.086071,8202.661632395135,8486.96433385494,446.8675349307494,25.688395721937177,9970.0,7266.99,HOLD,0
2018-05-27 05:30:00,7334.0,7400.0,7231.11,7338.99,18706.945515,8120.4071912146455,8441.945732527296,427.0119967214102,26.894516434397747,9689.67,7266.99,HOLD,0
2018-05-28 05:30:00,7338.99,7437.0,7058.02,7099.0,27219.438963,8023.13031586087,8389.281193996814,423.58113981273806,28.322465231626452,9475.7,7231.11,HOLD,0
2018-05-29 05:30:00,7099.0,7540.0,7032.95,7461.29,39407.21183,7969.621714350311,8352.889382467529,429.54320125468536,29.166764695609135,9395.12,7058.02,HOLD,0
2018-05-30 05:30:00,7467.98,7569.0,7260.5,7375.96,32041.583623,7913.082503459806,8314.578426292332,420.89725830792213,29.813331746499784,9395.12,7032.95,HOLD,0
2018-05-31 05:30:00,7382.07,7699.0,7327.51,7485.01,30776.063102,7872.313693606491,8282.046331143614,417.3681684287848,29.8000612461652,9016.8,7032.95,HOLD,0
2018-06-01 05:30:00,7485.01,7608.55,7355.54,7521.01,28259.124078,7838.856198977302,8252.201769137982,405.6282992553002,29.78773863871166,8879.99,7032.95,HOLD,0
2018-06-02 05:30:00,7521.01,7697.33,7437.0,7640.03,26720.690219,7819.920370503272,8228.195033093356,395.249849308493,29.34186120769643,8879.99,7032.95,HOLD,0
2018-06-03 05:30:00,7636.81,7786.69,7600.0,7714.26,27505.158951,7809.857478074389,8208.040718070088,380.35271721502926,28.500739092926743,8879.99,7032.95,HOLD,0
2018-06-04 05:30:00,7714.26,7760.52,7446.5,7487.0,32258.835115,7779.10914682921,8179.764611479104,375.6146659853843,28.203548103727705,8859.99,7032.95,HOLD,0
2018-06-05 05:30:00,7487.0,7679.49,7358.0,7625.0,31722.973384,7764.432085226428,8158.009136519139,371.7486184149997,28.189934372932502,8609.0,7032.95,HOLD,0
